id,chart_template_id/id,code,reconcile,user_type_id/id,name
l10n_pl_openglobe.chart01030000,pl_chart_template,01-030-000,False,account.data_account_type_fixed_assets,Środki trwałe - Urządzenia techniczne i maszyny
l10n_pl_openglobe.chart01050000,pl_chart_template,01-050-000,False,account.data_account_type_fixed_assets,Środki trwałe - Inne środki trwałe
l10n_pl_openglobe.chart02020000,pl_chart_template,02-020-000,False,account.data_account_type_non_current_assets,Wartości niematerialne i prawne - Nabyta wartość firmy
l10n_pl_openglobe.chart02030000,pl_chart_template,02-030-000,False,account.data_account_type_non_current_assets,Wartości niematerialne i prawne - Inne wartości niematerialne i prawne
l10n_pl_openglobe.chart05010300,pl_chart_template,05-010-300,False,account.data_account_type_depreciation,Odpisy umorzeniowe środków trwałych - Odpisy umorzeniowe urządzeń technicznych i maszyn
l10n_pl_openglobe.chart05010400,pl_chart_template,05-010-400,False,account.data_account_type_depreciation,Odpisy umorzeniowe środków trwałych - Odpisy umorzeniowe środków transportu
l10n_pl_openglobe.chart05010500,pl_chart_template,05-010-500,False,account.data_account_type_depreciation,Odpisy umorzeniowe środków trwałych - Odpisy umorzeniowe innych środków trwałych
l10n_pl_openglobe.chart06020000,pl_chart_template,06-020-000,False,account.data_account_type_depreciation,Odpisy umorzeniowe wartości niematerialnych i prawnych - Odpisy umorzeniowe wartości firmy
l10n_pl_openglobe.chart06020300,pl_chart_template,06-020-300,False,account.data_account_type_depreciation,Odpisy umorzeniowe wartości niematerialnych i prawnych - Odpisy umorzeniowe innych wartości niematerialnych i prawnych
l10n_pl_openglobe.chart10010000,pl_chart_template,10-010-000,False,account.data_account_type_liquidity,Środki pieniężne w kasie - Kasa krajowych środków pieniężnych
l10n_pl_openglobe.chart10020000,pl_chart_template,10-020-000,False,account.data_account_type_liquidity,Środki pieniężne w kasie - Kasa zagranicznych środków pieniężnych
l10n_pl_openglobe.chart11090000,pl_chart_template,11-090-000,True,account.data_account_type_liquidity,Rachunki i kredyty bankowe - Środki pieniężne w drodze
l10n_pl_openglobe.chart13090000,pl_chart_template,13-090-000,False,account.data_account_type_liquidity,Inne środki pieniężne - Pozostałe inne środki pieniężne
l10n_pl_openglobe.chart16000000,pl_chart_template,14-000-000,False,account.data_account_type_liquidity,Inne aktywa pieniężne
l10n_pl_openglobe.chart20000000,pl_chart_template,20-000-000,True,account.data_account_type_receivable,Rozrachunki z odbiorcami
l10n_pl_openglobe.chart21000000,pl_chart_template,21-000-000,True,account.data_account_type_payable,Rozrachunki z dostawcami
l10n_pl_openglobe.chart22010000,pl_chart_template,22-010-000,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - Rozrachunki z urzędem skarbowym z tytułu VAT
l10n_pl_openglobe.chart22020100,pl_chart_template,22-020-100,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT naliczony i jego rozliczenie - Rozliczenie naliczonego VAT 22%
l10n_pl_openglobe.chart22020200,pl_chart_template,22-020-200,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT naliczony i jego rozliczenie - Rozliczenie naliczonego VAT 7%
l10n_pl_openglobe.chart22020300,pl_chart_template,22-020-300,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT naliczony i jego rozliczenie - Rozliczenie naliczonego VAT 3%
l10n_pl_openglobe.chart22020400,pl_chart_template,22-020-400,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT naliczony i jego rozliczenie - Rozliczenie naliczonego VAT 23%
l10n_pl_openglobe.chart22020500,pl_chart_template,22-020-500,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT naliczony i jego rozliczenie - Rozliczenie naliczonego VAT 8%
l10n_pl_openglobe.chart22020600,pl_chart_template,22-020-600,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT naliczony i jego rozliczenie - Rozliczenie naliczonego VAT 5%
l10n_pl_openglobe.chart22030100,pl_chart_template,22-030-100,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT należny i jego rozliczenie - Rozliczenie należnego VAT 22%
l10n_pl_openglobe.chart22030200,pl_chart_template,22-030-200,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT należny i jego rozliczenie - Rozliczenie należnego VAT 7%
l10n_pl_openglobe.chart22030300,pl_chart_template,22-030-300,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT należny i jego rozliczenie - Rozliczenie należnego VAT 3%
l10n_pl_openglobe.chart22030400,pl_chart_template,22-030-400,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT należny i jego rozliczenie - Rozliczenie należnego VAT 23%
l10n_pl_openglobe.chart22030500,pl_chart_template,22-030-500,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT należny i jego rozliczenie - Rozliczenie należnego VAT 8%
l10n_pl_openglobe.chart22030600,pl_chart_template,22-030-600,False,account.data_account_type_current_assets,Rozrachunki publicznoprawne - VAT należny i jego rozliczenie - Rozliczenie należnego VAT 5%
l10n_pl_openglobe.chart22040000,pl_chart_template,22-040-000,False,account.data_account_type_current_assets,Pozostałe rozrachunki publicznoprawne
